Using: 
block_size_x=86, time=inf
block_size_x=115, time=inf
block_size_x=11, time=inf
block_size_x=126, time=5375.429
block_size_x=119, time=inf
block_size_x=92, time=inf
block_size_x=127, time=inf
block_size_x=28, time=1297.143
block_size_x=117, time=inf
block_size_x=8, time=inf
block_size_x=74, time=inf
block_size_x=45, time=1258.000
block_size_x=56, time=inf
block_size_x=39, time=inf
block_size_x=50, time=inf
block_size_x=43, time=inf
block_size_x=47, time=inf
block_size_x=44, time=inf
block_size_x=46, time=inf
block_size_x=62, time=inf
block_size_x=91, time=inf
block_size_x=16, time=inf
block_size_x=34, time=inf
block_size_x=51, time=inf
block_size_x=41, time=inf
block_size_x=38, time=inf
block_size_x=48, time=inf
block_size_x=125, time=inf
block_size_x=90, time=5205.429
block_size_x=57, time=inf
block_size_x=15, time=904.571
block_size_x=61, time=inf
block_size_x=33, time=inf
block_size_x=22, time=inf
block_size_x=18, time=1105.143
block_size_x=14, time=854.714
block_size_x=13, time=inf
block_size_x=12, time=779.429
block_size_x=10, time=1165.143
block_size_x=9, time=1057.429
block_size_x=73, time=inf
block_size_x=121, time=inf
block_size_x=70, time=1095.286
block_size_x=60, time=1036.429
block_size_x=54, time=inf
block_size_x=111, time=inf
block_size_x=24, time=inf
block_size_x=96, time=inf
block_size_x=116, time=inf
block_size_x=104, time=inf
block_size_x=59, time=inf
block_size_x=123, time=inf
block_size_x=66, time=inf
block_size_x=20, time=1183.857
block_size_x=95, time=inf
block_size_x=101, time=inf
block_size_x=32, time=inf
block_size_x=114, time=inf
block_size_x=112, time=inf
block_size_x=75, time=inf
block_size_x=97, time=inf
block_size_x=17, time=inf
block_size_x=36, time=1102.000
block_size_x=105, time=4813.857
block_size_x=118, time=inf
block_size_x=93, time=inf
block_size_x=83, time=inf
block_size_x=82, time=inf
block_size_x=76, time=inf
block_size_x=122, time=inf
block_size_x=31, time=inf
block_size_x=69, time=inf
block_size_x=27, time=inf
block_size_x=72, time=inf
block_size_x=67, time=inf
block_size_x=106, time=inf
block_size_x=124, time=inf
block_size_x=84, time=4998.286
block_size_x=21, time=1151.143
block_size_x=65, time=inf
block_size_x=88, time=inf
block_size_x=58, time=inf
block_size_x=113, time=inf
block_size_x=77, time=inf
block_size_x=109, time=inf
block_size_x=30, time=1136.143
block_size_x=35, time=1102.000
block_size_x=49, time=inf
block_size_x=108, time=inf
block_size_x=78, time=inf
block_size_x=25, time=inf
block_size_x=55, time=inf
block_size_x=81, time=inf
block_size_x=63, time=1048.429
block_size_x=79, time=inf
block_size_x=102, time=inf
block_size_x=19, time=inf
block_size_x=89, time=inf
block_size_x=37, time=inf
block_size_x=64, time=inf
block_size_x=100, time=inf
block_size_x=103, time=inf
block_size_x=42, time=1056.286
block_size_x=94, time=inf
block_size_x=98, time=inf
block_size_x=40, time=inf
block_size_x=53, time=inf
block_size_x=80, time=inf
block_size_x=87, time=inf
block_size_x=85, time=inf
block_size_x=71, time=inf
block_size_x=52, time=inf
block_size_x=23, time=inf
block_size_x=68, time=inf
block_size_x=29, time=inf
block_size_x=120, time=inf
block_size_x=26, time=inf
block_size_x=110, time=inf
block_size_x=99, time=inf
block_size_x=107, time=inf
best performing configuration:
block_size_x=12, time=779.429
